name,calendar_year,calendar_id,title,category,sub_category,raw_category,normalized_category,source_file,source_start_line,source_end_line,input_frequency,output_frequency,available_at,required_fields,original_formula,implemented_formula,implementation_status,implementation_notes,implementation_key,proxy_of,duplicate_refs,duplicate_type,default_params,warmup_requirement
calendar2025_12_amihud,2025,12,Amihud 非流动性比例,期货-流动性因子,,期货-流动性因子,流动性因子,factors2025.md,283,304,1d,1d,T_close,,ILLIQ = \frac{1}{R} \sum_{i=1}^{R} \frac{|r_i|}{Amount_i},,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,research_report_factors:concept_overlap,concept_overlap,{},0
calendar2025_13_u8ba1_5165_9884_671f_540e_7684_65b0_95fb_60c5,2025,13,计入预期后的新闻情绪,另类因子-文本分析,,另类因子-文本分析,另类因子,factors2025.md,305,330,1d,1d,T_close,news,"senti_i^t = \frac{1}{N} \sum_{j=1}^{N} (pos_{i,j}^t * 1 + neg_{i,j}^t * (-1) + neu_{i,j}^t * 0)

senti\_improved_i^t = \frac{senti\_std_i^t}{(1 + re_i^t)}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: news,,,,,{},0
calendar2025_14_u52a0_6743_9884_671f_6536_76ca_7387,2025,14,加权预期收益率,分析师、机构持仓,,分析师、机构持仓,分析师预期类,factors2025.md,331,352,1d,1d,T_close,analyst,WTR = \sum \frac{P_i^e}{P_i^0} = \frac{\sum P_i^e \times P / P_i^0}{P} = \sum \frac{P_i^e}{P} \omega_i = TR \times W,,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,,,{},0
calendar2025_15_misv_ttm,2025,15,错误定价因子 MISV_TTM,基本面因子改进,,基本面因子改进,基本面因子改进,factors2025.md,353,382,1d,1d,T_close,,"\frac{V_{it}}{B_{it}} - 1 = \gamma_0 \frac{NI_{it}}{B_{it}} + \gamma_1 \frac{B_{it-1}}{B_{it}} + \varepsilon_{it}

MISV\_TTM_{it} = \frac{\widehat{V}_{it}}{B_{it}} / PB_{it} - 1",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_16_u5bf9_65b0_95fb_7684_53cd_5e94_6ce2_52a8_6027,2025,16,对新闻的反应波动性,另类因子-文本分析,,另类因子-文本分析,另类因子,factors2025.md,383,408,1m,1d,T_close,news,"ret\_std_{i,n} = std(\text{股票 } i \text{ 在新闻 } n \text{ 发布后 15 分钟内 1 分钟收益率序列})

news\_reaction\_std_{i,t} = \frac{1}{N} \sum_{n=1}^{N} ret\_std_{i,n}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: news,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_17_u5e02_4ef7_504f_79bb_5ea6,2025,17,市价偏离度,高频因子-流动性类,,高频因子-流动性类,高频因子,factors2025.md,409,430,1m,1d,T_close,orderbook,MPB_t = \overline{TP}_t - \frac{M_t + M_{t-1}}{2} = \overline{TP}_t - \overline{MP}_t,,blocked_data,精确实现依赖当前数据审计未发现的数据域: orderbook,,,,,{},0
calendar2025_18_cssd,2025,18,CSSD 模型,行为金融因子-羊群效应,,行为金融因子-羊群效应,行为金融因子-羊群效应,factors2025.md,431,454,unknown,1d,T_close,,"CSSD = \sqrt{\frac{\sum_{i=1}^{N}(r_i - r_m)^2}{N - 1}}

CSSD = \alpha + \beta_1 D_t^u + \beta_2 D_t^d + \varepsilon",,blocked_formula,源定义缺少唯一执行所需的窗口、阈值或标量输出，未擅自补默认值,,,,,{},0
calendar2025_19_flesch_kincaid,2025,19,Flesch-Kincaid 年级水平,另类因子-文本分析,,另类因子-文本分析,另类因子,factors2025.md,455,475,1d,1d,T_close,,FKGL = (0.39 * words\_per\_sentence) + (11.8 * syllables\_per\_word) - 15.59,,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_20_b,2025,20,b型成交量分布,高频因子-成交分布类,,高频因子-成交分布类,高频因子,factors2025.md,476,495,unknown,1d,T_close,,,,blocked_formula,源文档未提供可执行的明确公式,,,,,{},0
calendar2025_21_u4e70_5165_610f_613f_56e0_5b50,2025,21,买入意愿因子,期货-高频因子,,期货-高频因子,高频因子,factors2025.md,496,515,1m,1d,T_close,orderbook,buy\_sell = \frac{count_{buy>sell}}{count_{all}},,blocked_data,精确实现依赖当前数据审计未发现的数据域: orderbook,,,,,{},0
calendar2025_22_u65b0_95fb_7f51_7edc_8282_70b9_5ea6,2025,22,新闻网络节点度,另类因子-网络结构,,另类因子-网络结构,另类因子,factors2025.md,516,546,1d,1d,T_close,news,"l_{ij,T} \stackrel{\text{def}}{=} \bigcup_{m_d \in D_T} \{(i,j)_{m_d} | j \text{ in } m_d \text{ title}, i \text{ in } m_d \text{ headline}, i
eq j\} W_T

\stackrel{\text{def}}{=} [\omega_{ij,T}]_{n \times n} = \left[ \frac{l_{ij,T}}{\sum_{j=1}^n l_{ij,T}} \right]_{n \times n}

\mathcal{A}_{i,t}(\omega_{ij,t-l:t}) = \# \{j : \omega_{ij,t-l:t}
eq 0\} + \# \{j : \omega_{ji,t-l:t}
eq 0\}, j = 1,2,\cdots,n,",,blocked_data,精确实现依赖当前数据审计未发现的数据域: news,,,,,{},0
calendar2025_23_u65f6_5e8f_56de_5f52_56e0_5b50,2025,23,时序回归因子,期货-动量趋势因子,,期货-动量趋势因子,动量因子,factors2025.md,547,572,1d,1d,T_close,,"close_t = a + b * t + c * t^2

时序回归因子 = b * R^2",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_24_u57fa_4e8e_5f02_5e38_6536_76ca_7684_6ce8_610f,2025,24,基于异常收益的注意力捕捉,行为金融因子-投资者注意力,,行为金融因子-投资者注意力,投资因子,factors2025.md,573,610,1d,1d,T_close,factor_returns,"indus\_abn_d = \frac{n_{>=top7\%,d}}{N_d}

r_{i,d} = u_{i,t} + \beta_{i,t}indus\_abn_d + \rho_{1,i,t}Mkt_d + \rho_{2,i,t}SMB_d + \rho_{3,i,t}HML_d + \rho_{4,i,t}UMD_d + \varepsilon_{i,t}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: factor_returns,,,,,{},0
calendar2025_25_u5ba2_6237_91cd_8981_6027,2025,25,客户重要性,另类因子-网络结构,,另类因子-网络结构,另类因子,factors2025.md,611,635,1d,1d,T_close,supply_chain,p(i) = \frac{q}{V} + (1 - q) \sum_{j \in \mathcal{V}: j \to i} \frac{p(j)}{k_j^{out}},,blocked_data,精确实现依赖当前数据审计未发现的数据域: supply_chain,,,,,{},0
calendar2025_26_u5546_54c1_901a_9053,2025,26,商品通道,高频技术因子,,高频技术因子,量价技术类,factors2025.md,636,666,1m,1d,T_close,open|high|low|close|volume|turnover,"HLC_{i,t} = \frac{High_{i,t} + Low_{i,t} + Close_{i,t}}{3}

HLC_{ma_{i,t}} = \frac{\sum_{t-239}^{t} HLC_{i,t}}{240}

AVEDDEV_{HLC,i,t} = \frac{\sum_{i=t-239}^{t} |HLC_{i,t} - HLC_{ma,i,t}|}{240}

CCI_{i,t} = \frac{HLC_{i,t} - HLC_{ma,i,t}}{0.015 * AVEDDEV_{HLC,i,t}}","linear_decay20((HLC_last-mean(HLC_1m,240))/(0.015*avedev(HLC_1m,240)))",exact,,intraday_path_metric,,,,"{'metric': 'calendar_cci', 'post_window': 20, 'post_stat': 'linear_decay'}",20
calendar2025_27_u5957_671f_4fdd_503c_6bd4_4f8b,2025,27,套期保值比例,期货-持仓类因子,,期货-持仓类因子,期货-持仓类因子,factors2025.md,667,687,1d,1d,T_close,,HP = \frac{|OI_t - OI_{t-J}|}{\sum_{j=0}^{J-1} Vol_{t-j}},,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_28_u62db_8058_5e7f_544a_6570_91cf,2025,28,招聘广告数量,另类因子-招聘信息,,另类因子-招聘信息,另类因子,factors2025.md,688,716,1d,1d,T_close,fundamental_raw,"Posting\_EMP\_xm_{i,t} = \frac{\sum_{j=t-x+1}^{t} Number\_of\_job\_posting_{i,j}}{Number\_of\_employee_{i,t}}

Posting\_EMP\_xm_{i,t} = \frac{\sum_{j=t-x+1}^{t} Number\_of\_job\_posting_{i,j}}{Number\_of\_employee_{i,t}}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: fundamental_raw,,,,,{},0
calendar2025_29_u65f6_95f4_52a0_6743_5e73_5747_7684_80a1_7968,2025,29,时间加权平均的股票相对价格位置,高频因子-收益分布类,,高频因子-收益分布类,高频因子,factors2025.md,717,750,1m,1d,T_close,open|high|low|close|volume|turnover,"RPP_{i,t} = \frac{(P_{i,t} - L_i)}{(H_i - L_i)}

ARPP_i = \int_0^T RPP_{i,t} \cdot dt \Rightarrow ARPP_{i,t} = \frac{\left( \int_0^T P_{i,t} \cdot dt - L_i \right)}{(H_i - L_i)}",(mean((open+high+low+close)/4)-low)/(high-low),exact,,intraday_path_metric,,,,{'metric': 'time_weighted_relative_price'},0
calendar2025_30_u56fd_5bb6_961f_6301_4ed3_5e02_503c_53d8_52a8,2025,30,“国家队”持仓市值变动,分析师、机构持仓,,分析师、机构持仓,分析师预期类,factors2025.md,751,769,1d,1d,T_close,analyst,"国家队持仓市值变动_{i,t} = 国家队持仓市值_{i,t} - 国家队持仓市值_{i,t-1}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,,,{},0
calendar2025_31_misv_fy1,2025,31,错误定价因子 MISV_FY1,基本面因子改进,,基本面因子改进,基本面因子改进,factors2025.md,770,799,1d,1d,T_close,analyst,"\frac{V_{it}}{B_{it}} = \gamma_0 + \gamma_1 \frac{NI_{it+1}}{B_{it}} + u_{it}

MISV\_FY1_{it} = \frac{\widehat{V}_{lt}}{B_{lt}} / PB_{it} - 1",,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,,,{},0
calendar2025_32_u7b80_5355_6ce2_52a8_7387,2025,32,简单波动率,期货-波动率因子,,期货-波动率因子,波动率因子,factors2025.md,800,818,1d,1d,T_close,,\sqrt{252} \frac{1}{K} \sum_{t=T-K+1}^{T} (r_t - \bar{r})^2,,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_33_u590d_6742_516c_53f8_52a8_91cf,2025,33,复杂公司动量,另类因子-动量溢出,,另类因子-动量溢出,动量因子,factors2025.md,819,838,1d,1d,T_close,business_segments,"COMRET_{i,t} = \frac{\sum_{j \in Ind_i} W_{i,j,t} RET_{j,t}}{\sum_{j \in Ind_i} W_{i,j,t}}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: business_segments,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_34_u4e3b_6b21_4ef7_5dee_56e0_5b50,2025,34,主次价差因子,期货-期限结构因子,,期货-期限结构因子,期货-期限结构因子,factors2025.md,839,858,1d,1d,T_close,,"-\frac{1}{K} \sum_{t=T-K+1}^{T} \frac{P_{sub,t} - P_{main,t}}{P_{main,t}} * \frac{365}{M_{sub,t} - M_{main,t}}",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_35_u65e5_5185_4fe1_566a_6bd4,2025,35,日内信噪比,高频因子-收益分布类,,高频因子-收益分布类,高频因子,factors2025.md,859,886,unknown,1d,T_close,,"P(t) = \sum_{i=1}^{n} IMF_i(t) + r(t)

SNR = log\left( \frac{std\left(r_n(t)\right)}{std\left(P(t) - r_n(t)\right)} \right)",,blocked_formula,源定义缺少唯一执行所需的窗口、阈值或标量输出，未擅自补默认值,,,,,{},0
calendar2025_36_u62db_8058_5e7f_544a_6570_91cf_53d8_52a8,2025,36,招聘广告数量变动,另类因子-招聘信息,,另类因子-招聘信息,另类因子,factors2025.md,887,915,1d,1d,T_close,fundamental_raw,"\frac{\sum_{j=t-x+1}^{t} Number\_of\_job\_posting_{i,j} - \sum_{j=t-2x+1}^{t-x} Number\_of\_job\_posting_{i,j}}{Number\_of\_employee_{i,t}}

\frac{\sum_{j=t-x+1}^{t} Number\_of\_job\_posting_{i,j} - \sum_{j=t-2x+1}^{t-x} Number\_of\_job\_posting_{i,j}}{\sum_{j=t-11}^{t} Number\_of\_job\_posting_{i,j}}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: fundamental_raw,,,,,{},0
calendar2025_37_u6d77_5916_8fd0_8425_4fe1_606f,2025,37,海外运营信息,另类因子-动量溢出,,另类因子-动量溢出,动量因子,factors2025.md,916,935,1d,1d,T_close,,"InfoProxy_{i,j,t-1}(Foreign) = \sum_{c≠U.S.} f_{i,t-1}^c R_{j,t-1}^c",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_38_u5e73_5747_5f02_5e38_65e5_6536_76ca_7387,2025,38,平均异常日收益率,行为金融因子-投资者注意力,,行为金融因子-投资者注意力,投资因子,factors2025.md,936,957,1d,1d,T_close,close|volume,"ABNRETAVG = \frac{1}{m} \sum_{t}^{t-m+1} (r_{i,t} - \bar{r}_t)^2","mean((return-median_cross_section(return))**2,20)",exact,,daily_attention_metric,,,,"{'metric': 'mean_squared_abnormal_return', 'window': 20}",21
calendar2025_39_u9694_591c_8df3_7a7a,2025,39,隔夜跳空,高频因子-动量反转类,,高频因子-动量反转类,高频因子,factors2025.md,958,976,1d,1d,T_close,open|close,absRet_{night} = \sum_{t=1}^{20} abs\left( \ln\left( \frac{Open_t}{Close_{t-1}} \right) \right),"ts_sum(ts_abs(ts_log(open/(ts_delay(close,1)+1e-12))),20)",exact,,legacy_expression,,,,{},21
calendar2025_40_u4ef7_503c_6398_91d1_56e0_5b50,2025,40,价值掘金因子,基本面因子改进,,基本面因子改进,基本面因子改进,factors2025.md,977,997,1d,1d,T_close,,F_{value} = Rank_{错误定价因子\_MISV} + Rank_{Turnover\_IVOL},,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_41_u7ed3_5408_4e1a_52a1_590d_6742_5ea6_7684_76f8,2025,41,结合业务复杂度的相似业务收益联动因子,另类因子-动量溢出,,另类因子-动量溢出,动量因子,factors2025.md,998,1027,1d,1d,T_close,business_segments,"Linkage_{i,t} = complexity_{i,t} * \left( \frac{\sum_{j=1}^{N} SIM_{i,j,t} * Ret_{j,t}}{\sum_{j=1}^{N} (SIM_{i,j,t})} - Ret_{i,t} \right)

complexity_{i,t} = \sum_{j=1}^{n} \frac{SIM_{i,j,t}}{n} - \sum_{k=1}^{m} \frac{SIM_{i,k,t}}{m}

SIM_{i,j,t} = \frac{P_{i,t} * P_{j,t}}{\|P_{i,t}\| * \|P_{j,t}\|}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: business_segments,,,,,{},0
calendar2025_42_u6210_4ea4_91cf_5206_6876_71b5,2025,42,成交量分桶熵,高频因子-成交分布类,,高频因子-成交分布类,高频因子,factors2025.md,1028,1048,1m,1d,T_close,open|high|low|close|volume|turnover,"vol\_entropy(V) = -\sum_{k=0}^{\min(maxbin, len(V))} p_k \ln(p_k) \cdot 1_{(p_k > 0)}",entropy(histogram(volume_1m)),exact,,intraday_path_metric,,,,{'metric': 'volume_bucket_entropy'},0
calendar2025_43_eps,2025,43,EPS 增速跳跃因子,基本面因子改进,,基本面因子改进,基本面因子改进,factors2025.md,1049,1076,1d,1d,T_close,fundamental_raw,"\widetilde{G\_EPS_{t+1}} \begin{bmatrix} G\_EPS_{t-3} \\ G\_EPS_{t-2} \\ G\_EPS_{t-1} \\ G\_EPS_{t} \end{bmatrix} = \beta \begin{bmatrix} 1 \\ 2 \\ 3 \\ 4 \end{bmatrix} + \begin{bmatrix} \varepsilon_1 \\ \varepsilon_2 \\ \varepsilon_3 \\ \varepsilon_4 \end{bmatrix}

\widetilde{G\_EPS_{t+1}} = \tilde{\beta} * 5, \sigma = std(\vec{\varepsilon})

J\_factor = \frac{G\_EPS_{t+1} - \widetilde{G\_EPS_{t+1}}}{\sigma}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: fundamental_raw,,,,,{},0
calendar2025_44_u5206_6790_5e08_5171_540c_8986_76d6_6539_8fdb,2025,44,分析师共同覆盖改进换手率,另类因子-因子改进,,另类因子-因子改进,另类因子,factors2025.md,1077,1098,1d,1d,T_close,analyst,CF\_TURN_i = \frac{\sum_{j=1}^{N} \log(n_{ij} + 1) * TURN_j}{\sum_{j=1}^{N} \log(n_{ij} + 1)} - TURN_i,,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_45_u56fd_5bb6_961f_80a1_6570_5360_6bd4_53d8_52a8,2025,45,“国家队”股数占比变动,分析师、机构持仓,,分析师、机构持仓,分析师预期类,factors2025.md,1099,1117,1d,1d,T_close,analyst,"\text{国家队股数占比变动}_{i,t} = \frac{\text{国家队持股股数}_{i,t}}{\text{自由流通股本}_{i,t}} - \frac{\text{国家队持股股数}_{i,t-1}}{\text{自由流通股本}_{i,t-1}}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,,,{},0
calendar2025_46_u4eba_6c14_6307_6570,2025,46,人气指数,高频技术因子,,高频技术因子,量价技术类,factors2025.md,1118,1139,1d,1d,T_close,open|high|low,"AR_{i,t} = \frac{\sum_{t-239}^{t} (High_{i,t} - Open_{i,t})}{\sum_{t-239}^{t} (Open_{i,t} - Low_{i,t})} * 100

\widehat{\text{Factor}}_j = \frac{1}{\sum_{j=1}^{20} \frac{j}{20}} \times \sum_{i=1}^{20} \widehat{\text{Factor}}_{j,k} \times \frac{j}{20}","100*ts_sum(high-open,26)/(ts_sum(open-low,26)+1e-12)",exact,,legacy_expression,,,,{},26
calendar2025_47_u5927_5355_5f71_54cd_529b,2025,47,大单影响力,期货-高频因子,,期货-高频因子,高频因子,factors2025.md,1140,1159,1m,1d,T_close,tick_trade,r_{large} = \frac{1}{n} \sum_{i=1}^{n} r_i,,blocked_data,精确实现依赖当前数据审计未发现的数据域: tick_trade,,,,,{},0
calendar2025_48_u5206_6790_5e08_5171_540c_8986_76d6_6539_8fdb,2025,48,分析师共同覆盖改进波动率,另类因子-因子改进,,另类因子-因子改进,另类因子,factors2025.md,1160,1181,1d,1d,T_close,analyst,CF\_STD_i = \frac{\sum_{j=1}^{N} \log(n_{ij} + 1) * STD_j}{\sum_{j=1}^{N} \log(n_{ij} + 1)} - STD_i,,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_49_u975e_6d41_52a8_6027,2025,49,非流动性,高频因子-流动性类,,高频因子-流动性类,高频因子,factors2025.md,1182,1211,1m,1d,T_close,open|high|low|close|volume|turnover,"shortcut = 2 * (high - low) - |close - open|

ILLIQ_t = \frac{1}{d} \sum_{i=1}^{d} \left( \sum_{j=1}^{p} \frac{ShortCut_j}{Value_j} \right)_{t-i}","mean(sum((2*(high-low)-abs(close-open))/turnover),20)",exact,,intraday_path_metric,,research_report_factors:concept_overlap,concept_overlap,"{'metric': 'shortcut_illiquidity', 'post_window': 20, 'post_stat': 'mean'}",20
calendar2025_50_u7a33_5065_52a8_91cf_56e0_5b50,2025,50,稳健动量因子,期货-动量趋势因子,,期货-动量趋势因子,动量因子,factors2025.md,1212,1236,1d,1d,T_close,,"rank_t = \left( y(r_t) - \frac{N_t + 1}{2} \right) / \sqrt{\frac{(N_t + 1)(N_t - 1)}{12}}

\frac{1}{K} \sum_{t=T-K+1}^{T} rank_t",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_51_u5bf9_65b0_95fb_7684_53cd_5e94_654f_611f_5ea6,2025,51,对新闻的反应敏感度,另类因子-文本分析,,另类因子-文本分析,另类因子,factors2025.md,1237,1262,1m,1d,T_close,news,"ret\_me_{i,n} = mean(股票i在新闻n发布后15分钟内1分钟收益率序列)

news\_reaction\_mean_{i,t} = \frac{1}{N} \sum_{n=1}^{N} ret\_me_{i,n}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: news,,,,,{},0
calendar2025_52_u4e0a_4e0b_884c_6ce2_52a8_7387_4e0d_5bf9_79f0,2025,52,上下行波动率不对称性,高频因子-波动跳跃类,,高频因子-波动跳跃类,高频因子,factors2025.md,1263,1283,1m,1d,T_close,close,RSJ_d = \frac{RVup_d - RVdown_d}{RV_d},(RV_up-RV_down)/RV,exact,,intraday_return_measure,,alpha101/158/191/360:concept_overlap,concept_overlap,{'measure': 'asymmetry'},0
calendar2025_53_u4ea7_4e1a_94fe_5730_4f4d_4f18_52bf_56e0_5b50,2025,53,产业链地位优势因子,另类因子-网络结构,,另类因子-网络结构,另类因子,factors2025.md,1284,1314,1d,1d,T_close,supply_chain,"wgt_{(B,j),(A,i),t} = \frac{(prdIncome_{B,j,t} + prdIncome_{A,i,t}) \times 1\{j \rightarrow i\}}{\sum_i prdIncome_{A,i,t} + \sum_j prdIncome_{B,j,t}}

wgt_{A,B,t} = \frac{\sum_i prdIncome_{A,i,t} \times 1\{i \rightarrow j, i \in A\} + \sum_j prdIncome_{B,j,t} \times 1\{i \rightarrow j, j \in B\}}{\sum_i prdIncome_{A,i,t} + \sum_j prdIncome_{B,j,t}}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: supply_chain,,,,,{},0
