字段,释义、备注
unrealised_investment_loss,未确认的投资损失： 因母公司和子公司确认子公司损益方式不同而在合并报表中使用的一个调节性科目
other_effecting_net_profits_items,影响净利润的其他科目
net_profit,净利润（收益）是指在利润总额中按规定交纳了所得税以后公司的利润留存，一般也称为税后利润或净收入 :mba
non_recurring_pnl,非经常性损益
net_profit_deduct_non_recurring_pnl,扣除非经常性损益后的净利润
classified_by_continuity_operation,(一)按经营持续性分类
continuous_operation_net_profit,持续经营净利润
discontinued_operation_net_profit,终止经营净利润
classified_by_ownership,(二)按所有权归属分类
net_profit_parent_company,归属母公司净利润： 反映在企业合并净利润中，归属于母公司股东（所有者）所有的那部分净利润 :others
minority_profit,少数股东损益
other_income,其他综合收益：指企业根据企业会计准则规定未在损益中确认的各项利得和损失扣除所得税影响后的净额 :mba
other_income_unclassified_income_statement,(一)以后不能重分类进损益表的其他综合收益
remearsured_other_income,1.1 重新计量设定收益计划净负债或净资产的变动
other_income_equity_unclassified_income_statement,1.2 权益法下在被投资单位不能重分类进损益表的其他综合收益中享有的份额
other_equity_instruments_change,1.3 其他权益工具投资公允价值变动
corporate_credit_risk_change,1.4 企业自身信用风险公允价值变动
other_income_classified_income_statement,(二)以后能重分类进损益表的其他综合收益
other_income_equity_classified_income_statement,2.1 权益法下在被投资单位能重分类进损益表的其他综合收益中享有的份额
financial_asset_available_for_sale_change,2.2 可供出售金融资产公允价值变动损益
financial_asset_hold_to_maturity_change,2.3 持有至到期投资重分类为可供出售金融资产损益
cash_flow_hedging_effective_portion,2.4 现金流量套期损益的有效部分
foreign_currency_statement_converted_difference,2.5 外币财务报表分析折算差额
others,2.6 其他
other_debt_investment_change,2.7 其他债权投资公允价值变动
assets_reclassified_other_income,2.8 金融资产重分类计入其他综合收益的金额
other_debt_investment_reserve,2.9 其他债权投资信用减值准备
other_income_minority,归属于少数股东的其他综合收益总额
total_income,综合收益总额：反映企业净利润与其他综合收益的合计金额 :mba
total_income_parent_company,归属于母公司所有者的综合收益总额
total_income_minority,归属于少数股东的综合收益总额
basic_earnings_per_share,基本每股收益：本每股收益是指企业应当按照属于普通股股东的当期净利润，除以发行在外普通股的加权平均数从而计算出的每股收益 :mba
fully_diluted_earnings_per_share,稀释每股收益
adjust_asset_impairment,资产减值损失：根据财政部发布的《关于修订印发 2019 年度一般企业财务报表格式的通知》格式，“资产减值损失”不隶属于营业总成本部分。因企业披露不一致性，经研究，从 2020.07.08 披露的 2020 年半年报开始，字段数值按照原文披露展示，历史报告期维持原有规则。
adjust_credit_asset_impairment,信用减值损失：根据财政部发布的《关于修订印发 2019 年度一般企业财务报表格式的通知》格式，“信用减值损失”不隶属于营业总成本部分。因企业披露不一致性，经研究，从 2020.07.08 披露的 2020 年半年报开始，字段数值按照原文披露展示，历史报告期维持原有规则。
